ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"OT\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"field_1\" Title=\"OT\" Type=\"Text\" ID=\"{4f769ee1-f407-4cd1-a5fe-c4e56b87b49f}\" StaticName=\"field_1\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"ID_LineaNegocio\" FillInChoice=\"FALSE\" Format=\"Dropdown\" Name=\"field_2\" Title=\"ID_LineaNegocio\" Type=\"Choice\" ID=\"{cfdec302-d281-410f-89d5-461287f7a37e}\" StaticName=\"field_2\"><CHOICES><CHOICE>Carton</CHOICE><CHOICE>Aeropuertos</CHOICE><CHOICE>Logistica</CHOICE></CHOICES></Field>","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"Estado\" FillInChoice=\"FALSE\" Format=\"Dropdown\" Name=\"field_4\" Title=\"Estado\" Type=\"Choice\" ID=\"{b453022d-ff86-4b4e-a792-41e3cf4f9332}\" StaticName=\"field_4\"><CHOICES><CHOICE>DECK</CHOICE><CHOICE>WIP</CHOICE><CHOICE>FROZEN</CHOICE><CHOICE>FINISHED</CHOICE></CHOICES></Field>","<Field DisplayName=\"ID_GerenteProyecto\" Format=\"Dropdown\" IsModern=\"TRUE\" List=\"UserInfo\" Name=\"ID_GerenteProyecto\" Required=\"TRUE\" Title=\"ID_GerenteProyecto\" Type=\"User\" UserSelectionMode=\"0\" UserSelectionScope=\"0\" ID=\"{7e1a6230-6439-41ff-a02c-d1858d5e5958}\" StaticName=\"ID_GerenteProyecto\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Title\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(vinculado al elemento con el menú de edición)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Abrir menú\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}"Title","OT","ID_LineaNegocio","ID_GerenteProyecto","Estado"
"AIRPLAN JMC","T2436P","Aeropuertos","yroman@matec.com.co","WIP"
"BLUEBOX P2.2","T2504P","Carton","acuartas@matec.com.co","WIP"
"AME - AEROPUERTO SALTILLO","T2512P","Aeropuertos","yroman@matec.com.co","DECK"
"MERCADOLIBRE VOLUMINOSOS MXCD11- Estado de Mexico","T2518P","Logistica","acuartas@matec.com.co","DECK"
"MERCADOLIBRE VOLUMINOSOS MXJC02 .Jalisco","T2520P","Logistica","acuartas@matec.com.co","DECK"
"MARIO HERNANDEZ: BOGOTA","T2534P","Logistica","yroman@matec.com.co","WIP"
"BIO PAPPEL GUADALAJARA","T2540P","Carton","acuartas@matec.com.co","WIP"
"MERCADOLIBRE VOLUMINOSOS MXJC02 .Jalisco","T2543P","Aeropuertos","acuartas@matec.com.co","WIP"
"ASUR - AEROPUERTO COZUMEL","T2544P","Aeropuertos","yroman@matec.com.co","WIP"
"CARVIMSA","T2546P","Carton","acuartas@matec.com.co","WIP"
"MELI MECANIZACIÓN TTES AGUAS CALIENTES","T2547P","Logistica","acuartas@matec.com.co","DECK"
